Gremio,Nombre,Dirección,Teléfono,Email,Persona de contacto,Web,Lat,Lon,ID,Fuente
Fontaneros,Fontanero Urgencia Madrid,"C. de Zurbarán, 8, Chamberí, 28010 Madrid",,,,,40.429482,-3.6933341,gplace/ChIJ7ef_4KEpQg0RkfA3yhChz5Q,Google
Fontaneros,JF Servicios | Fontaneros en Madrid Urgentes,"Cl. de Ayala, 11, Salamanca, 28001 Madrid",,,,,40.4280173,-3.6869612,gplace/ChIJhx29upYoQg0R0Io_-kjsdeM,Google
Fontaneros,Reparaciones Urgentes Fontaneros Madrid,"Gran Vía, 6, Centro, 28013 Madrid",,,,,40.4194938,-3.6979092,gplace/ChIJTcwFrXwoQg0REspC7vUGtB8,Google
Fontaneros,SATHOGAR®,"El Santo de la Isidra, 31, Villaverde, 28041 Madrid, España, 28041, Madrid, Madrid, España",691 08 91 99,,,https://sathogar.pro/,40.353651,-3.7041675,gplace/None,Google
Fontaneros,Fonser Instalaciones,"Av. de la Gran Vía del Sureste, 16, Vallecas, 28031 Madrid, España, 28031, Madrid, Madrid, España",665 87 21 67,,,https://fonserinstalaciones.com/,40.3643385,-3.5888333,gplace/None,Google
Fontaneros,Reparaciones de Fontanería,"C. de la Basílica, 15, Tetuán, 28020 Madrid",,,,,40.4491158,-3.6957099,gplace/ChIJBSpj5JUpQg0RdkJ9mQEv7KU,Google
Fontaneros,Fontanería José Prieto,"C. de la Torrecilla del Leal, 2, LOCAL, Centro, 28012 Madrid, España, 28012, Madrid, Madrid, España",915 06 19 51,,,http://www.fontanerosmadridcentro.es/,40.411675,-3.6995239,gplace/None,Google
Fontaneros,Fernández Servicios e Instalaciones Fontaneros y Poceros Urgentes en Madrid,"C. del Arroyo del Olivar, 158, Puente de Vallecas, 28053 Madrid",,,,,40.3881831,-3.6523631,gplace/ChIJq6peTNslQg0RwywgYuGX3iU,Google
Fontaneros,Instalador de gas autorizado en Madrid 🔥 Sergon Sat | Reparacion fugas de Gas · Aire acondiconado Madrid,"C/ de Alfonso XIII, 10, Puente de Vallecas, 28038 Madrid",,,,,40.4010526,-3.6620117,gplace/ChIJH8pheeIlQg0RQ_HcMowG2gg,Google
Fontaneros,FONTANEROS URGENCIAS 24 HORAS MADRID,"C. del Lucero, 17, Latina, 28047 Madrid, España, 28047, Madrid, Madrid, España",652 66 18 46,,,https://www.fontaneros24horasmadrid.es/,40.403172,-3.7476679,gplace/None,Google
Fontaneros,Soluciones Fontanería y Albañilería - 24 Horas Urgencias Madrid,"C. Don Quijote, 9, 28922 Alcorcón, Madrid, España, 28922, Alcorcón, Madrid, España",686 74 34 82,,,https://www.soluciones-de-fontaneria.es/,40.3409739,-3.8296236,gplace/None,Google
Fontaneros,Tecnirep Servicios,"C. Gamonal, 21, 1ºd, Vallecas, 28031 Madrid, España, 28031, Madrid, Madrid, España",915 78 68 95,,,https://www.tecnirep.es/,40.3730424,-3.644113399999999,gplace/None,Google
Fontaneros,SAT REPARACION MULTISERVICIOS,"C. Benadalid, Puente de Vallecas, 28018 Madrid, España, 28018, Madrid, Madrid, España",911 29 87 84,,,https://www.satreparacion.com/,40.386331,-3.638458,gplace/None,Google
Fontaneros,SAT LEGANES,"C. de Méjico, 30, LOCAL 2, 28918 Leganés, Madrid, España, 28918, Leganés, Madrid, España",916 88 14 44,,,https://fpiquero.es/,40.341899,-3.769211,gplace/None,Google
Fontaneros,Fontanero En Tu Zona,"C. de Leganitos, 47, planta 7, Centro, 28013 Madrid, España, 28013, Madrid, Madrid, España",641 42 67 26,,,https://fontaneroentuzona.es/?utm_source=google&utm_medium=organic&utm_campaign=gbp,40.4229856,-3.7111183,gplace/None,Google
Fontaneros,Instaladores y Reformas Sapur,"Locales Posteriores, C. de Puentelarra, 12, Vallecas, 28031 Madrid, España, 28031, Madrid, Madrid, España",913 31 99 11,,,https://instalacionesyreformasapur.es/,40.3831912,-3.6090427,gplace/None,Google
Fontaneros,Soluciones Vallehermoso,"C. de Lucio del Valle, 16, Chamberí, 28003 Madrid, España, 28003, Madrid, Madrid, España",915 33 22 87,,,https://www.solucionesvallehermoso.com/,40.4401504,-3.7087432,gplace/None,Google
Fontaneros,Fugas de Agua Madrid,"C. Condes de Barcelona, 7, Carabanchel, 28019 Madrid, España, 28019, Madrid, Madrid, España",619 31 99 92,,,https://www.fugasdeaguamadrid.net/,40.3952174,-3.7145164,gplace/None,Google
Fontaneros,Instalador de gas en Madrid - (Todo En Gas),"C/ de José Arcones Gil, 110, P07 C, Cdad. Lineal, 28017 Madrid, España, 28017, Madrid, Madrid, España",691 30 80 01,,,https://instaladorgasmadrid.net/,40.4278775,-3.634221199999999,gplace/None,Google
Fontaneros,Fontaneria y Saneamientos TABEGA S.L,"C/ de los Sagrados Corazones, 17, Latina, 28011 Madrid, España, 28011, Madrid, Madrid, España",914 79 12 02,,,http://www.fontaneriaysaneamientostabega.es/,40.4068525,-3.739783699999999,gplace/None,Google
Fontaneros,Fontanero Centro Madrid,"C/ del Alcalde Sainz de Baranda, 7, Retiro, 28009 Retiro, Madrid, España, 28009, Retiro, Madrid, España",673 40 72 09,,,https://www.fontanerocentromadrid.com/,40.4171348,-3.6769666,gplace/None,Google
Fontaneros,Metrópoli fontanero Madrid,"Av del Manzanares, 152, Carabanchel, 28019 Madrid, España, 28019, Madrid, Madrid, España",919 93 17 64,,,,40.3960939,-3.7098887,gplace/None,Google
Fontaneros,FONTYCAM,"Ctra. Villaverde a Vallecas, 46, Villaverde, 28021 Madrid, España, 28021, Madrid, Madrid, España",637 65 41 60,,,http://averiasfontanero.com/,40.35786960000001,-3.6844602,gplace/None,Google
Fontaneros,Fontanería Urgente Barrios Madrid,"C. Pozohalcón, 30, Puente de Vallecas, 28053 Madrid, España, 28053, Madrid, Madrid, España",666 89 14 01,,,http://www.fontaneriaurgentebarrios.es/,40.3774562,-3.666170299999999,gplace/None,Google
Fontaneros,Fontaneros 24h Madrid – Fontanero Urgente Y Desatascos - Fontanero Vicálvaro,"C. Abad Juan Catalán, 16, Vicálvaro, 28032 Madrid, España, 28032, Madrid, Madrid, España",636 42 79 70,,,http://madrid.fontanero-urgente.com.es/,40.40478179999999,-3.5928842,gplace/None,Google
Fontaneros,fontanero24h O´Donnell,"Calle de O'Donnell, 16, 2º derecha, Retiro, 28009 Madrid, España, 28009, Madrid, Madrid, España",601 89 56 97,,,https://fontanero24h-odonnell.com/,40.4214005,-3.6773585,gplace/None,Google
Fontaneros,Multiservicios y Reformas Miguel,"C. de Pechuán, 12, Chamartín, 28002 Madrid, España, 28002, Madrid, Madrid, España",915 64 29 59,,,http://reformasmiguel.com/index.php/habla-con-nosotros,40.44478549999999,-3.6766564,gplace/None,Google
Fontaneros,FonReps Fontanero y Reparador Doméstico,"C. del Arroyo, 10, Tetuán, 28029 Madrid, España, 28029, Madrid, Madrid, España",672 07 44 02,,,https://fonreps.com/,40.4690084,-3.701049199999999,gplace/None,Google
Fontaneros,OBRAS DE POCERIA EN MADRID - DESATRANCOS - ATASCOS - SECOM,"C. Benamargosa, 1, Puente de Vallecas, 28018 Madrid, España, 28018, Madrid, Madrid, España",670 75 72 72,,,https://www.poceriasecom.com/,40.3837178,-3.6422854,gplace/None,Google
Fontaneros,Fontaneros Madrid EU | Servicio 24 horas,"C. Teobaldo, 1, Carabanchel, 28025 Madrid, España, 28025, Madrid, Madrid, España",919 93 09 19,,,https://fontanerosenmadrid.eu/,40.3790274,-3.7424683,gplace/None,Google
Fontaneros,Fontmadrid S.L.,"C. de Sarria, 38, local, Fuencarral-El Pardo, 28029 Madrid, España, 28029, Madrid, Madrid, España",917 40 52 65,,,http://fontmadrid.es/,40.47549679999999,-3.7137663,gplace/None,Google
Fontaneros,GB Fontanero Urgente en Tu Barrio,"C. de los Hermanos Machado, 52, Cdad. Lineal, 28017 Madrid, España, 28017, Madrid, Madrid, España",634 76 84 13,,,http://www.fontanerourgente24hmadrid.com/,40.4296799,-3.6488495,gplace/None,Google
Fontaneros,Fontaneros Madrid | Manuel Bueno,"C. de las Higueras, 84, Latina, 28047 Madrid, España, 28047, Madrid, Madrid, España",649 90 61 04,,,http://fontanero24horasenmadrid.com/,40.4024388,-3.745694499999999,gplace/None,Google
Fontaneros,REFORMAS Y MULTISERVICIOS MORAGA,"C. de Menasalbas, 2, Villaverde, 28041 Madrid, España, 28041, Madrid, Madrid, España",625 11 20 25,,,https://www.reformasymultiservicios.es/,40.3623155,-3.6956149,gplace/None,Google
Fontaneros,Fontanero Calefactor Raúl López García,"C. Écija, 97, 28231 Las Rozas de Madrid, Madrid, España, 28231, Las Rozas de Madrid, Madrid, España",649 39 36 20,,,http://www.fontaneroraullopezgarcia.es/,40.4878778,-3.8890753,gplace/None,Google
Fontaneros,Fontaneros Madrid 24h 🧰,"C. de Embajadores, 32, Centro, Centro, 28012 Madrid, España, 28012, Madrid, Madrid, España",910 05 95 22,,,https://fontanerosmadrid.madrid/,40.4088659,-3.7055562,gplace/None,Google
Fontaneros,Fontanero Jesús Ramayo - IRS Instalaciones,"C. de Circón, Arganzuela, 28045 Madrid, España, 28045, Madrid, Madrid, España",654 25 59 88,,,https://irsinstalacionesdelagua.es/,40.3969206,-3.6907595,gplace/None,Google
Fontaneros,Esquerdo Fontaneros,"C. del Dr. Esquerdo, 159, Retiro, 28007 Madrid, España, 28007, Madrid, Madrid, España",919 93 07 51,,,https://sites.google.com/view/esquerdofontaneros/inicio,40.4087863,-3.6697568,gplace/None,Google
Fontaneros,M.garcia,"C. de Palencia, 42, Tetuán, 28020 Madrid, España, 28020, Madrid, Madrid, España",915 33 39 31,,,,40.449574,-3.699425,gplace/None,Google
Fontaneros,Fontanería Calderón,"C. Concejal Julio Gómez, 11, Cdad. Lineal, 28027 Madrid, España, 28027, Madrid, Madrid, España",625 47 22 00,,,http://fontaneriacalderon.com.es/,40.433823,-3.6507197,gplace/None,Google
Fontaneros,JVC Fontaneros Urgencias,"Cra de S. Jerónimo, 3, Centro, 28014 Madrid, España, 28014, Madrid, Madrid, España",643 92 24 27,,,https://jvcfontanerosurgencias.madrid/,40.4167831,-3.7016713,gplace/None,Google
Fontaneros,Taher Jaebak Zbair,"C. Alcázar de San Juan, 6, Bajo Derecha Escalera Derecha, Latina, 28011 Madrid, España, 28011, Madrid, Madrid, España",637 48 92 01,,,https://fontanero-madrid.es/,40.407266,-3.7337306,gplace/None,Google
Fontaneros,LoMills Fontanería y Reformas Alemanas.,"C. de Eugenia de Montijo, 60, Carabanchel, 28025 Madrid, España, 28025, Madrid, Madrid, España",910 05 37 69,,,https://lomills.com/fontanero-carabanchel/,40.3802493,-3.7460446,gplace/None,Google
Fontaneros,Fontanero La Latina,"C. del Oso, 6, Centro, Centro, 28012 Madrid, España, 28012, Madrid, Madrid, España",919 93 13 46,,,https://sites.google.com/view/fontaneroslalatina/inicio,40.4099391,-3.7045462,gplace/None,Google
Fontaneros,Fontanero Cuatro Caminos,"C. de Teruel, 37, Tetuán, 28020 Madrid, España, 28020, Madrid, Madrid, España",919 93 03 78,,,https://sites.google.com/view/fontanerocuatrocaminos/inicio,40.45146829999999,-3.7005842,gplace/None,Google
Fontaneros,Fontaneros Express | Fontanero a domicilio 24h,"C. del Lucero, 2, Local, Latina, 28047 Madrid, España, 28047, Madrid, Madrid, España",658 80 40 84,,,https://www.fontanerosexpress.com/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business,40.4039012,-3.7477012,gplace/None,Google
Fontaneros,"Fontanero Carballeira, Fontanería Las Rozas","C. Tulipán, 2, bloque 4 planta baja A, 28231 Las Rozas de Madrid, Madrid, España, 28231, Las Rozas de Madrid, Madrid, España",636 61 84 60,,,https://fontaneriacarballeira.es/,40.5006608,-3.8666323,gplace/None,Google
Fontaneros,Fontanería Julian Calderón,"C. de la Povedilla, 15, local 5, Salamanca, 28009 Madrid, España, 28009, Madrid, Madrid, España",658 88 08 51,,,,40.4238828,-3.6693934,gplace/None,Google
Fontaneros,"Instalaciones Muñoz Costo SL Fontanería, gas, calefacción","Pl. de Arteijo, 15, local, Fuencarral-El Pardo, 28029 Madrid, España, 28029, Madrid, Madrid, España",913 11 99 23,,,https://instalacionesmunozcosto.es/,40.4777906,-3.7067746,gplace/None,Google
Fontaneros,Fontanero Calefactor Autónomo Madrid,"Calle Mirto, Tetuán, Tetuán, 28029 Madrid, España, 28029, Madrid, Madrid, España",919 89 58 31,,,https://fontaneromadrid.pro/,40.4659767,-3.6985364,gplace/None,Google
Fontaneros,Fontanería H.M. Delgado,"c. de Melquíades Biencinto, 28, Puente de Vallecas, 28053 Madrid, España, 28053, Madrid, Madrid, España",915 01 38 02,,,https://fontaneria-h-m-delgado.jimdosite.com/,40.396186,-3.6702092,gplace/None,Google
