Gremio,Nombre,Dirección,Teléfono,Email,Persona de contacto,Web,Lat,Lon,ID,Fuente
aire acondicionado y calderas,Técnicos Benidefon frío y calor,"Carrer Pintor Joan Reus, 39, 12192 Vilafamés, Castelló, España, 12192, Vilafamés, Castelló, España",639 24 71 73,,,http://www.benidefontecnicos.org/,40.11753239999999,-0.0522028,gplace/None,Google
aire acondicionado y calderas,Climanieto,"Carrer de Lleida, 10, 12004 Castelló de la Plana, Castelló, España, 12004, Castelló de la Plana, Castelló, España",609 38 56 20,,,,39.9933796,-0.0345126,gplace/None,Google
aire acondicionado y calderas,Enercom,"C/ del Bisbe Salinas, 81, 12003 Castelló de la Plana, Castelló, España, 12003, Castelló de la Plana, Castelló, España",964 72 47 50,,,https://enercominstalaciones.com/,39.9834283,-0.0286473,gplace/None,Google
aire acondicionado y calderas,Termicas Castellò,"Carrer de Josp Bertomeu Gimeno, 3, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",646 56 70 84,,,,39.9933509,-0.0631419,gplace/None,Google
aire acondicionado y calderas,MULTISERVICIOS COLLADO,"Carrer del Cronista Rocafort, 63, 12004 Castelló de la Plana, Castelló, España, 12004, Castelló de la Plana, Castelló, España",622 86 92 48,,,http://www.instalacioncastellon.es/,39.9922364,-0.0426671,gplace/None,Google
aire acondicionado y calderas,"FONT Climatización. Aire acondicionado, agua caliente y calefacción.","Carrer de Sant Francesc, 40, 12002 Castelló de la Plana, Castelló, España, 12002, Castelló de la Plana, Castelló, España",964 21 25 79,,,http://www.fontclima.net/,39.9833429,-0.0413723,gplace/None,Google
aire acondicionado y calderas,BICLIMA,"Av. de Casalduch, 53, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 25 71 82,,,http://biclima.es/,39.9777291,-0.0406854,gplace/None,Google
aire acondicionado y calderas,Fadri Servicios Técnicos,"Carrer de Jordi Juan, 39, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",964 21 04 94,,,http://fadrisat.es/,39.9808603,-0.0445597,gplace/None,Google
aire acondicionado y calderas,"LA FONTANERIA CASTELLON.Fontanero,calefaccion,gas,aire acondicionado","Carrer Poeta Verdaguer, 2, 12002 Castelló de la Plana, Castelló, España, 12002, Castelló de la Plana, Castelló, España",654 42 80 62,,,https://hingenia.wixsite.com/lafontaneria,39.9834694,-0.0397433,gplace/None,Google
aire acondicionado y calderas,IRV,"C. Onda, 42, BAJO, 12006 Castellón de la Plana, Castellón, España, 12006, Castellón de la Plana, Castellón, España",964 06 79 39,,,http://irv.es/,39.9796031,-0.0523168,gplace/None,Google
aire acondicionado y calderas,Vilasat,"Av. Alemanya, 12, 12540 Vila-real, Castelló, España, 12540, Vila-real, Castelló, España",635 02 51 48,,,,39.94181,-0.1078321,gplace/None,Google
aire acondicionado y calderas,Mantenimientos Castellon SL,"Carrer de Montanejos, 82, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 21 96 55,,,https://www.mantenimientoscastellonsl.com/,39.9680056,-0.0549769,gplace/None,Google
aire acondicionado y calderas,AIRE ACONDICIONADO Y CALDERAS,"Plaça de Joan XXIII, 1, 46920 Mislata, Valencia, España, 46920, Mislata, Valencia, España",658 94 61 00,,,,39.4723709,-0.4184938,gplace/None,Google
aire acondicionado y calderas,VAINSMON SL,"Carretera de Llíria, 24, 46100 Burjassot, Valencia, España, 46100, Burjassot, Valencia, España",961 39 92 07,,,https://www.vainsmon.es/,39.509015,-0.413129,gplace/None,Google
aire acondicionado y calderas,Novafont - Instalaciones y Mantenimientos,"C/ Pietat, 91 Esq, Carrer Sant Bertomeu, 70, Bajo Izq, 12540 Villarreal, Castellón, España, 12540, Villarreal, Castellón, España",964 52 13 72,,,,39.93563320000001,-0.1083672,gplace/None,Google
aire acondicionado y calderas,Saltoki,"Av. de Casalduch, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 34 20 84,,,https://www.saltoki.com/,39.967617,-0.05323899999999999,gplace/None,Google
aire acondicionado y calderas,Grupo Aplus,"Carrer de Martínez Aloy, 11, Extramurs, 46007 València, Valencia, España, 46007, València, Valencia, España",865 60 30 08,,,https://www.grupoaplus.es/aire-acondicionado/aire-acondicionado-en-valencia/,39.4637822,-0.3870305,gplace/None,Google
aire acondicionado y calderas,Rcv Reparación Calderas y Aire Acondicionado Valencia,"C/ del Duc de Calàbria, 13, L'Eixample, 46005 València, Valencia, España, 46005, València, Valencia, España",960 73 06 53,,,https://reparacioncalderasvalencia.eu/,39.4618836,-0.3654051,gplace/None,Google
aire acondicionado y calderas,CALORTEC,"Carrer Meliana, 3, 6, 46120 Alboraia, Valencia, España, 46120, Alboraia, Valencia, España",664 38 50 39,,,,39.5017611,-0.3470966,gplace/None,Google
aire acondicionado y calderas,"Implica-T Desarrollo Sostenible | Autoconsumo, Energía Solar, Aerotermia, Recarga Vehículo Eléctrico","Camí Pi Gros, 144, NAVE 3, 12005 Castellón de la Plana, Castellón, España, 12005, Castellón de la Plana, Castellón, España",961 16 30 71,,,http://www.implica-t.com/,39.9633125,-0.0637414,gplace/None,Google
aire acondicionado y calderas,"Cambio, Instalación y Reparación Calderas y Aire Acondicionado | Aire-Caldera","C. Divino Vallés, 15, Arganzuela, 28045 Madrid, España, 28045, Madrid, Madrid, España",603 56 93 66,,,https://aire-caldera.com/,40.396238,-3.6968949,gplace/None,Google
aire acondicionado y calderas,My Clima ® Instalación y venta de Calderas y Aires Acondicionados,"C. Vázquez de Coronado, 8, 1º D, 28802 Alcalá de Henares, Madrid, España, 28802, Alcalá de Henares, Madrid, España",659 99 26 96,,,https://www.myclima.es/,40.4761173,-3.3858775,gplace/None,Google
aire acondicionado y calderas,Climatron - Aire Acondicionado Valencia,"Carrer de Ciscar, 16, PTA 7, L'Eixample, 46005 València, Valencia, España, 46005, València, Valencia, España",669 77 77 50,,,https://climatron.net/,39.46648,-0.3661205,gplace/None,Google
aire acondicionado y calderas,"Sumitay (Suministros Taymon Castellón, S.L)","Pol. Ciudad del Transporte nave 35 - 36, Av. de Lairón, 12006 Castellón de la Plana, Castellón, España, 12006, Castellón de la Plana, Castellón, España",964 25 64 69,,,https://sumitay.com/,39.9710192,-0.0727767,gplace/None,Google
aire acondicionado y calderas,Instalación de aire acondicionado y calderas - Instalaciones Volcán,"Av. de Algorta, 14, Local 14, 28830 San Fernando de Henares, Madrid, España, 28830, San Fernando de Henares, Madrid, España",917 75 84 31,,,https://instalacionesvolcan.es/,40.4170718,-3.5262214,gplace/None,Google
aire acondicionado y calderas,"Climma | Aire Acondicionado / Calderas Saunier Duval, Junkers | Instalación Calderas, Aire Acondicionado y Aerotermia Madrid","P.º de Sta. María de la Cabeza, 57, Arganzuela, 28045 Madrid, España, 28045, Madrid, Madrid, España",912 19 57 91,,,https://www.climma.es/,40.4002105,-3.6997058,gplace/None,Google
aire acondicionado y calderas,Instalaciones Navarro Hermanos S.L.,"C. Peñíscola, 25, bajo derecha, Rascaña, 46019 Valencia, España, 46019, Valencia, Valencia, España",686 46 97 22,,,http://www.instalacionesnavarrohnos.es/,39.4906661,-0.3697262,gplace/None,Google
aire acondicionado y calderas,Climelgas Servicio Técnico de Valencia,"C/ de Molinell, 16, Bajo Izquierdo, La Saïdia, 46010 València, Valencia, España, 46010, València, Valencia, España",677 62 90 65,,,http://www.serviciotecnicodevalencia.es/,39.4847886,-0.3683440000000001,gplace/None,Google
aire acondicionado y calderas,CLIMACALDERAS,"C. de Polvoranca, 19, 28911 Leganés, Madrid, España, 28911, Leganés, Madrid, España",912 63 08 02,,,http://www.climacalderas.es/,40.3267281,-3.7706259,gplace/None,Google
aire acondicionado y calderas,Climelectric Aire acondicionado Valencia,"Av. de la Plata, 43, Bajo, Quatre Carreres, 46013 València, Valencia, España, 46013, València, Valencia, España",963 76 63 79,,,https://www.climelectric.com/,39.4549189,-0.3679112,gplace/None,Google
aire acondicionado y calderas,Fontaneria Alfonso,"Avinguda Nules, 47, 12530 Burriana, Castellón, España, 12530, Burriana, Castellón, España",610 47 37 00,,,,39.885618,-0.0911598,gplace/None,Google
aire acondicionado y calderas,Midasat Clima.,"Carrer de Molina del Palau, 26, bajo, Quatre Carreres, 46013 València, Valencia, España, 46013, València, Valencia, España",963 95 34 70,,,http://www.midasatclima.com/,39.4540361,-0.3707432,gplace/None,Google
aire acondicionado y calderas,Calefacción y fontanería multiservicios magizate,"Av. de Blasco Ibáñez, 86, Algirós, 46021 València, Valencia, España, 46021, València, Valencia, España",641 08 73 48,,,https://multiserviciosmagizate.com/,39.4744188,-0.351118,gplace/None,Google
aire acondicionado y calderas,Climargas,"Carrer d'Anna, 9, BAJO, Rascaña, 46019 Valencia, España, 46019, Valencia, Valencia, España",961 93 92 19,,,http://www.climargas.es/,39.4958156,-0.3739663,gplace/None,Google
aire acondicionado y calderas,Oficina Endesa Mi Aire Y Caldera,"C. del Marqués de Hinojares, 10, 28840 Mejorada del Campo, Madrid, España, 28840, Mejorada del Campo, Madrid, España",615 92 32 57,,,https://citaprevia.endesa.es/citaprevia/?codOficina=XMD082&gmb=XMD082%3Apuntoe%3Aowm%3Aeees%3Acap%3Aeng%3Ana%3Aorg%3Aropo%3Ana%3Ana%3Amad%3Actl%3Ana%3Ana%3Acitaprevia%3Ana%3Ana%3Ana%3Ana%3A%3Amtd%3A%3A%3A%3A,40.3985755,-3.4872527,gplace/None,Google
aire acondicionado y calderas,SomosFontaneria,"Oficinas, Plaça Àustria, 4, 46200 Paiporta, Valencia, España, 46200, Paiporta, Valencia, España",641 64 83 53,,,http://somosfontaneria.com/,39.4322397,-0.410973,gplace/None,Google
aire acondicionado y calderas,FOC AMBIENT,"Pol. Ind. Riu Sec, 12190 Borriol, Castelló, España, 12190, Borriol, Castelló, España",964 50 68 41,,,http://www.focambient.com/,40.0247221,-0.08945109999999999,gplace/None,Google
aire acondicionado y calderas,Servclimat,"C. de la Resina, 37, nave 10, Villaverde, 28021 Madrid, España, 28021, Madrid, Madrid, España",917 51 35 93,,,http://www.servclimat.es/,40.3353304,-3.7046921,gplace/None,Google
aire acondicionado y calderas,"ONAGAS INSTALACIONES Y SERVICIOS, S.L.U.","Carrer Joanot Martorell, 3, 46136 Museros, Valencia, España, 46136, Museros, Valencia, España",961 45 33 58,,,http://www.onagas.es/,39.5630107,-0.3346404,gplace/None,Google
aire acondicionado y calderas,AEROTERMIA y PLACAS SOLARES Flavio Severini,"C/ del Pare Tena, 3, La Saïdia, 46009 València, Valencia, España, 46009, València, Valencia, España",672 35 34 35,,,https://www.aeroclimapro.es/,39.489549,-0.3833668,gplace/None,Google
aire acondicionado y calderas,MV hogar climatizacion,"C. Reyes Católicos, 2, bajo izquierda, 46950 Xirivella, Valencia, España, 46950, Xirivella, Valencia, España",648 04 37 84,,,,39.4636218,-0.4365254,gplace/None,Google
