Gremio,Nombre,Dirección,Teléfono,Email,Persona de contacto,Web,Lat,Lon,ID,Fuente
reparación electrodomésticos,FESER reparacion y repuestos de electrodomésticos,"C/ de Móstoles, 52, 28943 Fuenlabrada, Madrid, España, 28943, Fuenlabrada, Madrid, España",692 60 07 02,,,http://www.reparacionesfeser.es/,40.2878378,-3.8010421,gplace/None,Google
reparación electrodomésticos,Reparaciones Amaya,"C. Espada, 5, 28921 Alcorcón, Madrid, España, 28921, Alcorcón, Madrid, España",916 43 82 62,,,,40.3478146,-3.8266204,gplace/None,Google
reparación electrodomésticos,Reparaciones ISPAL | Servicio Técnico de Electrodomésticos,"C. de Palencia, 3, 28941 Fuenlabrada, Madrid, España, 28941, Fuenlabrada, Madrid, España",655 86 54 13,,,http://reparacionesispal.com/,40.2956724,-3.8014648,gplace/None,Google
reparación electrodomésticos,Jusan,"C. de la Concordia, 10, 28931 Móstoles, Madrid, España, 28931, Móstoles, Madrid, España",916 14 73 50,,,,40.3251962,-3.8598893,gplace/None,Google
reparación electrodomésticos,Reparaciones Ragon Sl,"C. Burgos, 4, 28931 Móstoles, Madrid, España, 28931, Móstoles, Madrid, España",916 14 78 98,,,http://www.ragon.es/,40.3265051,-3.8595283,gplace/None,Google
reparación electrodomésticos,ALEMA,"28943 Fuenlabrada, Madrid, España, 28943, Fuenlabrada, Madrid, España",916 08 35 75,,,,40.2842599,-3.8071085,gplace/None,Google
reparación electrodomésticos,Oasix SAT electrodomésticos 24/48h,"Cl. Miguel Ángel, 9, local Oasix, 28932 Móstoles, Madrid, España, 28932, Móstoles, Madrid, España",628 14 62 67,,,https://www.electrodomesticosoasix.com/,40.331936,-3.8649469,gplace/None,Google
reparación electrodomésticos,JEMASAT S.A.,"Calle Herramientas, 22, 28918 Leganés, Madrid, España, 28918, Leganés, Madrid, España",914 69 30 40,,,http://www.jemasat.com/,40.3442064,-3.8018162,gplace/None,Google
reparación electrodomésticos,Grupo Servifast Innova,"P.º del Olimpo, 4, 28943 Fuenlabrada, Madrid, España, 28943, Fuenlabrada, Madrid, España",916 49 13 77,,,https://reparacionelectrodomesticosmadridsur.es/,40.2824153,-3.8061567,gplace/None,Google
reparación electrodomésticos,Servicio Técnico de reparaciones,"Av. del dos de Mayo, 27, 28934 Móstoles, Madrid, España, 28934, Móstoles, Madrid, España",913 65 47 47,,,https://www.reparacionelectrodomesticos.com/?utm_source=google&utm_medium=maps&utm_campaign=mybussines,40.3198067,-3.8702231,gplace/None,Google
reparación electrodomésticos,Ugenasa,"C. de la Canaleja, 4, 28921 Alcorcón, Madrid, España, 28921, Alcorcón, Madrid, España",916 11 52 51,,,https://ugenasa.com/,40.3503972,-3.8257025,gplace/None,Google
reparación electrodomésticos,Reparaciones Urbión,"C. Río Urbión, 19, 28913 Leganés, Madrid, España, 28913, Leganés, Madrid, España",916 93 39 41,,,,40.3351663,-3.7725504,gplace/None,Google
reparación electrodomésticos,SAT Tecnicos AEG Fuenlabrada Zanussi,"Pl. de Santander, 1, 28941 Fuenlabrada, Madrid, España, 28941, Fuenlabrada, Madrid, España",919 93 14 64,,,,40.2975688,-3.8036069,gplace/None,Google
reparación electrodomésticos,Reparaciones Pol-SAT,"C. de Brunete, 2, 28914 Leganés, Madrid, España, 28914, Leganés, Madrid, España",916 48 40 19,,,https://www.sat-oficial-madrid.com/,40.3193077,-3.7819724,gplace/None,Google
reparación electrodomésticos,Aldar Servicio Técnico de Reparación e Instalación de Electrodomésticos,"C. Carballino, 7, Latina, 28024 Madrid, España, 28024, Madrid, Madrid, España",666 13 87 64,,,https://aldarserviciotecnico.com/,40.3972941,-3.768868099999999,gplace/None,Google
reparación electrodomésticos,Briotec,"C. Guadarrama, 28, 28670 Villaviciosa de Odón, Madrid, España, 28670, Villaviciosa de Odón, Madrid, España",607 41 09 99,,,,40.3557161,-3.9073991,gplace/None,Google
reparación electrodomésticos,Elektronil,"Av. del Alcalde de Móstoles, 33 local 10, posterior, 28933 Móstoles, Madrid",,,,,40.3343486,-3.8712556,gplace/ChIJhWM-Z3uOQQ0Rs-rat-ctyT8,Google
reparación electrodomésticos,Electronica Naranjo SL,"Calle de los claveles n 24, acceso Avda. del vivero, frente al INEM, 28942 Fuenlabrada, Madrid, España, 28942, Fuenlabrada, Madrid, España",916 97 41 54,,,http://www.electronicanaranjo.es/,40.2937352,-3.8250617,gplace/None,Google
reparación electrodomésticos,Multi servicios Electrodomésticos Yireh service,"C. de Galicia, 44, Colonia Jardín, 28024 Madrid, España, 28024, Madrid, Madrid, España",615 65 20 22,,,,40.3984966,-3.7723153,gplace/None,Google
reparación electrodomésticos,Tecnico reparación electrodomesticos Jose Antonio Madrid,"C. Berlanas, 15, Latina, 28047 Madrid, España, 28047, Madrid, Madrid, España",615 53 76 81,,,http://tecnicojoseantonio.es/,40.4004434,-3.7521183,gplace/None,Google
reparación electrodomésticos,OFICIALSAT,"C. de Honduras, 4, BAJO 2 POSTERIOR, 28945 Fuenlabrada, Madrid, España, 28945, Fuenlabrada, Madrid, España",911 88 65 83,,,https://oficialsat.es/,40.287507,-3.791159,gplace/None,Google
reparación electrodomésticos,MYM Servicio Técnico,"C. de Juan de la Cierva, 111, Oficina 3, 28939 Arroyomolinos, Madrid, España, 28939, Arroyomolinos, Madrid, España",918 17 52 53,,,https://mymserviciotecnico.com/,40.3012023,-3.8968279,gplace/None,Google
reparación electrodomésticos,F.Piquero,"C. de Méjico, 30, 28918 Leganés, Madrid, España, 28918, Leganés, Madrid, España",916 88 14 44,,,https://fpiquero.es/,40.3421735,-3.7691647,gplace/None,Google
reparación electrodomésticos,Servicio técnico Alcala de Henares Bifrost,"Av. del dos de Mayo, 27, 28934 Móstoles, Madrid, España, 28934, Móstoles, Madrid, España",918 88 52 51,,,https://www.serviciotecnicooficialalcaladehenares.com/?utm_source=google&utm_medium=mybussines&utm_campaign=mybussines,40.3198067,-3.8702231,gplace/None,Google
reparación electrodomésticos,Electrónica Sanchi,"C. de la Rioja, 136, 28915 Leganés, Madrid, España, 28915, Leganés, Madrid, España",669 93 07 20,,,https://www.electronicasanchi.com/,40.3344549,-3.7485279,gplace/None,Google
reparación electrodomésticos,Reparaciones y repuestos BARATO MUY BARATO,"28931 Móstoles, Madrid, España, 28931, Móstoles, Madrid, España",918 26 84 94,,,,40.3249641,-3.8608827,gplace/None,Google
reparación electrodomésticos,Servicio Técnico electrodomésticos MRM,"C. de Juan de la Cierva, 111, Ofi-3, 28939 Arroyomolinos, Madrid, España, 28939, Arroyomolinos, Madrid, España",911 03 64 17,,,https://tuserviciotecnicooficial.es/,40.30120549999999,-3.8968265,gplace/None,Google
reparación electrodomésticos,Electrodomésticos PBV,"C. de Ramón Azorín, 14, B, Latina, 28047 Madrid, España, 28047, Madrid, Madrid, España",617 42 11 43,,,,40.4033018,-3.7421692,gplace/None,Google
reparación electrodomésticos,Reparacíon Electrodomésticos Madrid - GamaServicio,"C. Brunete, 18, 28950 Moraleja de Enmedio, Madrid, España, 28950, Moraleja de Enmedio, Madrid, España",670 29 16 24,,,https://gamaservicio.es/,40.26519880000001,-3.8541281,gplace/None,Google
reparación electrodomésticos,ST Reparación Electrodomésticos Madrid,"Paseo de la R. Cristina, 14, Retiro, 28014 Madrid, España, 28014, Madrid, Madrid, España",912 27 75 46,,,https://www.tureparacionelectrodomesticosmadrid.com/,40.4067865,-3.682316,gplace/None,Google
reparación electrodomésticos,Alema,"C/ de la Constitución, 46, 28944 Fuenlabrada, Madrid, España, 28944, Fuenlabrada, Madrid, España",916 97 72 91,,,,40.2812948,-3.7873814,gplace/None,Google
reparación electrodomésticos,Reparaciones RJM,"C. de Juan Ramón Jiménez, 4, 28932 Móstoles, Madrid",,,,,40.3313561,-3.858445,gplace/ChIJl5J2WGOPQQ0RHPNxkjlZlgc,Google
reparación electrodomésticos,SAT Madrid Servicio Técnico Electrodomésticos,"Parque Empresarial Prado del Espino, C. Impresores, 20, 28660 Boadilla del Monte, Madrid, España, 28660, Boadilla del Monte, Madrid, España",916 48 02 45,,,https://reparacion-electrodomesticos.es/,40.3950648,-3.8476726,gplace/None,Google
reparación electrodomésticos,Repuestos Burgos 2,"C. Badajoz, 20, 28931 Móstoles, Madrid, España, 28931, Móstoles, Madrid, España",912 36 43 02,,,https://repuestos-burgos-service.lovable.app/,40.3263136,-3.8601619,gplace/None,Google
reparación electrodomésticos,STEM Reparación Electrodomesticos Madrid,"C/ del Áncora, 13, Arganzuela, 28045 Madrid, España, 28045, Madrid, Madrid, España",911 12 45 01,,,https://www.tecnicoelectrodomesticosmadrid.com/,40.403078,-3.691999,gplace/None,Google
reparación electrodomésticos,Prolaundry,"C. de Villalba, 16, 28945 Fuenlabrada, Madrid, España, 28945, Fuenlabrada, Madrid, España",916 85 63 02,,,http://prolaundry.es/,40.28732,-3.7946284,gplace/None,Google
reparación electrodomésticos,Talleres Gómez,"C. de Tomás Bretón, 13, Arganzuela, 28045 Madrid, España, 28045, Madrid, Madrid, España",915 30 52 81,,,,40.3975802,-3.6940424,gplace/None,Google
reparación electrodomésticos,SAT Oficial PolSAT,"C. del Estanque, 5, local 5, 28942 Fuenlabrada, Madrid",,,,,40.2928974,-3.816253699999999,gplace/ChIJ7dFwMWqLQQ0R4AThDGcv9pA,Google
